"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Anis Ben Slimane","tn TUN","MF","Sheffield Utd","22-364","2001","11","4","366","4.1","0","0","0","0","0","0","2","0","0.7","0.7","0.3","1.0","2","9","17","0.00","0.00","0.00","0.00","0.00","0.17","0.07","0.24","0.17","0.24","Matches","2023/2024","6","3","50.0","1.48","0.74","0.00","0.00","18.6","0","0.11","-0.7","-0.7","74","116","63.8","1075","317","39","58","67.2","27","35","77.1","4","5","80.0","0.1","-0.3","3","5","2","0","9","8","5","3","1","4","3","8","37.5","5","5","1","4","4","12","6","0"
"Saïd Benrahma","dz ALG","FW,MF","West Ham","28-217","1995","13","5","620","6.9","0","1","1","0","0","1","1","0","1.8","1.0","1.4","2.5","28","28","70","0.00","0.15","0.15","0.00","0.15","0.27","0.21","0.47","0.15","0.36","Matches","2023/2024","18","5","27.8","2.61","0.73","0.00","0.00","19.8","0","0.06","-1.8","-1.0","193","257","75.1","2587","504","116","138","84.1","56","76","73.7","8","15","53.3","0.8","-0.4","11","11","11","2","28","8","4","5","3","0","4","15","26.7","11","8","0","8","5","13","7","0"
"Rodrigo Bentancur","uy URU","MF","Tottenham","26-263","1997","12","7","509","5.7","1","0","1","1","0","0","3","0","1.0","1.0","0.3","1.3","6","30","19","0.18","0.00","0.18","0.18","0.18","0.18","0.05","0.23","0.18","0.23","Matches","2023/2024","8","1","12.5","1.41","0.18","0.13","1.00","13.8","0","0.13","0.0","0.0","320","386","82.9","4961","1286","164","189","86.8","133","149","89.3","14","23","60.9","0.6","-0.3","5","35","3","0","30","12","7","7","3","2","5","13","38.5","8","7","2","5","5","17","11","0"
"Daniel Bentley","eng ENG","GK","Wolves","30-245","1993","4","2","293","3.3","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","67","98","68.4","1552","1081","22","22","100.0","26","26","100.0","18","49","36.7","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0"
"Jóhann Berg Guðmundsson","is ISL","MF","Burnley","33-139","1990","20","12","1,050","11.7","0","2","2","0","0","0","2","0","0.9","0.9","2.3","3.3","9","52","55","0.00","0.17","0.17","0.00","0.17","0.08","0.20","0.28","0.08","0.28","Matches","2023/2024","10","3","30.0","0.86","0.26","0.00","0.00","15.3","1","0.09","-0.9","-0.9","330","456","72.4","6259","1953","132","150","88.0","135","169","79.9","51","106","48.1","2.1","-0.3","31","33","15","4","52","13","4","6","5","2","7","15","46.7","8","13","0","13","14","27","14","0"
"Sander Berge","no NOR","MF","Burnley","26-029","1998","27","24","2,105","23.4","1","1","2","1","0","0","8","1","1.7","1.7","1.2","2.9","39","90","21","0.04","0.04","0.09","0.04","0.09","0.07","0.05","0.13","0.07","0.13","Matches","2023/2024","19","3","15.8","0.81","0.13","0.05","0.33","16.5","0","0.09","-0.7","-0.7","848","988","85.8","14649","2839","365","415","88.0","386","428","90.2","76","98","77.6","0.8","-0.2","17","67","6","1","90","54","31","25","26","3","25","46","54.3","21","36","15","21","18","72","47","1"
"Luke Berry","eng ENG","MF,DF","Luton Town","31-246","1992","8","0","62","0.7","0","0","0","0","0","0","1","0","0.2","0.2","0.1","0.3","1","0","2","0.00","0.00","0.00","0.00","0.00","0.35","0.10","0.44","0.35","0.44","Matches","2023/2024","1","0","0.0","1.45","0.00","0.00","","12.3","0","0.23","-0.2","-0.2","14","27","51.9","217","81","8","9","88.9","5","10","50.0","1","5","20.0","0.1","-0.1","1","0","0","0","1","2","2","0","2","0","0","0","","0","1","0","1","0","2","0","0"
"Beto","gw GNB","FW","Everton","26-043","1998","23","7","746","8.3","2","0","2","2","0","1","2","0","4.7","3.9","0.9","4.9","11","14","46","0.24","0.00","0.24","0.24","0.24","0.57","0.11","0.68","0.48","0.59","Matches","2023/2024","34","8","23.5","4.10","0.97","0.06","0.25","15.3","0","0.12","-2.7","-1.9","91","149","61.1","1213","291","55","79","69.6","29","45","64.4","4","5","80.0","0.3","-0.9","11","7","6","0","14","14","6","1","6","7","4","11","36.4","7","9","0","9","0","14","10","0"
"Jordan Beyer","de GER","DF","Burnley","23-300","2000","15","15","1,234","13.7","0","1","1","0","0","0","6","0","0.5","0.5","0.3","0.8","9","25","1","0.00","0.07","0.07","0.00","0.07","0.04","0.02","0.06","0.04","0.06","Matches","2023/2024","5","0","0.0","0.36","0.00","0.00","","8.2","0","0.10","-0.5","-0.5","766","861","89.0","14232","3759","270","298","90.6","421","446","94.4","64","92","69.6","0.2","+0.7","3","28","1","0","25","35","20","22","12","1","14","24","58.3","10","22","15","7","16","51","68","1"
"Philip Billing","dk DEN","MF","Bournemouth","27-277","1996","23","12","1,239","13.8","2","2","4","2","0","0","3","1","2.1","2.1","2.7","4.8","17","45","53","0.15","0.15","0.29","0.15","0.29","0.15","0.19","0.34","0.15","0.34","Matches","2023/2024","25","6","24.0","1.82","0.44","0.08","0.33","20.3","5","0.09","-0.1","-0.1","357","467","76.4","5307","1566","207","246","84.1","102","130","78.5","29","48","60.4","2.0","-0.9","20","32","14","4","46","29","13","4","21","4","8","23","34.8","15","27","5","22","17","46","26","1"
"Yves Bissouma","ml MLI","MF","Tottenham","27-197","1996","19","18","1,484","16.5","0","0","0","0","0","0","7","2","1.2","1.2","0.3","1.5","33","116","9","0.00","0.00","0.00","0.00","0.00","0.07","0.02","0.09","0.07","0.09","Matches","2023/2024","18","4","22.2","1.09","0.24","0.00","0.00","25.1","1","0.07","-1.2","-1.2","1247","1356","92.0","18417","5182","697","738","94.4","455","488","93.2","44","56","78.6","1.4","-0.3","7","106","9","0","116","60","38","25","27","8","32","46","69.6","14","23","5","18","28","88","35","3"
"Benicio Boaitey","eng ENG","DF,FW","Brighton","20-065","2004","4","0","16","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","9","14","64.3","124","19","6","9","66.7","3","4","75.0","0","0","","0.0","0.0","0","0","0","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","2","0"
"Oscar Bobb","no NOR","FW,MF","Manchester City","20-246","2003","9","1","180","2.0","1","1","2","1","0","0","0","0","1.3","1.3","0.9","2.2","9","18","29","0.50","0.50","1.00","0.50","1.00","0.64","0.47","1.11","0.64","1.11","Matches","2023/2024","3","1","33.3","1.50","0.50","0.33","1.00","9.1","0","0.43","-0.3","-0.3","95","109","87.2","1267","272","66","69","95.7","26","30","86.7","2","2","100.0","1.1","+0.1","5","2","13","1","18","3","0","1","0","2","1","2","50.0","1","3","0","3","1","4","1","0"
"Jayden Bogle","eng ENG","DF","Sheffield Utd","23-231","2000","24","22","1,916","21.3","1","0","1","1","0","0","8","0","1.4","1.4","0.8","2.2","20","35","59","0.05","0.00","0.05","0.05","0.05","0.07","0.04","0.11","0.07","0.11","Matches","2023/2024","19","6","31.6","0.89","0.28","0.05","0.17","16.7","0","0.07","-0.4","-0.4","460","675","68.1","6849","2482","278","328","84.8","142","206","68.9","30","87","34.5","0.8","-0.8","8","26","14","5","35","48","27","34","12","2","25","55","45.5","30","34","11","23","27","75","74","0"
"Willy Boly","ci CIV","DF","Nott'ham Forest","33-040","1991","15","13","995","11.1","1","0","1","1","0","0","3","1","1.3","1.3","1.0","2.3","4","22","2","0.09","0.00","0.09","0.09","0.09","0.12","0.09","0.20","0.12","0.20","Matches","2023/2024","11","5","45.5","0.99","0.45","0.09","0.20","10.5","0","0.12","-0.3","-0.3","390","520","75.0","6906","2935","166","185","89.7","184","236","78.0","30","77","39.0","0.7","-1.0","5","24","7","0","22","30","18","26","4","0","13","23","56.5","10","19","14","5","20","50","68","0"
"Sven Botman","nl NED","DF","Newcastle Utd","24-062","2000","17","15","1,377","15.3","2","2","4","2","0","0","2","0","0.6","0.6","1.0","1.6","0","35","5","0.13","0.13","0.26","0.13","0.26","0.04","0.07","0.11","0.04","0.11","Matches","2023/2024","10","2","20.0","0.65","0.13","0.20","1.00","10.5","0","0.06","+1.4","+1.4","921","1017","90.6","17027","6760","357","382","93.5","459","489","93.9","98","132","74.2","0.6","+1.0","5","38","1","0","35","20","13","14","6","0","8","13","61.5","5","20","16","4","9","29","61","3"
"Jarrod Bowen","eng ENG","FW","West Ham","27-085","1996","27","27","2,426","27.0","14","3","17","14","0","0","2","0","9.3","9.3","3.8","13.1","71","44","152","0.52","0.11","0.63","0.52","0.63","0.34","0.14","0.48","0.34","0.48","Matches","2023/2024","65","30","46.2","2.41","1.11","0.22","0.47","13.9","0","0.14","+4.7","+4.7","393","562","69.9","5300","1382","236","285","82.8","111","144","77.1","22","44","50.0","2.9","-0.8","20","23","10","1","44","31","19","12","9","10","10","26","38.5","16","30","5","25","17","48","13","0"
"Conor Bradley","nir NIR","DF","Liverpool","20-249","2003","6","6","441","4.9","1","3","4","1","0","0","1","0","0.7","0.7","1.1","1.8","16","16","37","0.20","0.61","0.82","0.20","0.82","0.14","0.21","0.36","0.14","0.36","Matches","2023/2024","8","4","50.0","1.63","0.82","0.13","0.25","17.2","0","0.09","+0.3","+0.3","226","299","75.6","3367","1053","123","149","82.6","82","110","74.5","12","22","54.5","0.8","+1.9","10","12","10","3","16","19","16","10","7","2","13","22","59.1","9","10","1","9","5","24","9","0"
"Jarrad Branthwaite","eng ENG","DF","Everton","21-261","2002","25","25","2,250","25.0","2","0","2","2","0","0","7","0","1.4","1.4","0.9","2.3","2","47","4","0.08","0.00","0.08","0.08","0.08","0.06","0.04","0.09","0.06","0.09","Matches","2023/2024","8","3","37.5","0.32","0.12","0.25","0.67","11.3","0","0.18","+0.6","+0.6","805","1018","79.1","14945","5523","316","365","86.6","391","452","86.5","81","155","52.3","1.0","-0.9","3","40","1","0","47","50","27","33","16","1","34","41","82.9","7","31","22","9","41","91","109","1"
"Ben Brereton","cl CHI","MF,FW","Sheffield Utd","24-331","1999","4","4","254","2.8","2","0","2","2","0","0","1","0","1.1","1.1","0.0","1.1","7","8","22","0.71","0.00","0.71","0.71","0.71","0.39","0.01","0.40","0.39","0.40","Matches","2023/2024","7","5","71.4","2.48","1.77","0.29","0.40","15.5","0","0.16","+0.9","+0.9","41","60","68.3","543","162","30","36","83.3","10","14","71.4","1","4","25.0","0.1","0.0","1","5","4","0","8","2","2","1","1","0","1","2","50.0","1","1","1","0","0","2","2","0"
"Rhian Brewster","eng ENG","FW,MF","Sheffield Utd","23-348","2000","11","3","307","3.4","0","0","0","0","0","0","0","1","0.3","0.3","0.1","0.4","1","2","17","0.00","0.00","0.00","0.00","0.00","0.08","0.03","0.11","0.08","0.11","Matches","2023/2024","6","3","50.0","1.76","0.88","0.00","0.00","23.7","0","0.04","-0.3","-0.3","43","63","68.3","555","144","29","34","85.3","9","21","42.9","2","2","100.0","0.1","-0.1","2","6","1","0","2","5","1","1","2","2","0","2","0.0","2","2","0","2","0","5","2","0"
"Armando Broja","al ALB","FW","Chelsea","22-186","2001","13","6","454","5.0","1","0","1","1","0","0","0","0","2.4","2.4","0.2","2.5","11","6","37","0.20","0.00","0.20","0.20","0.20","0.47","0.03","0.50","0.47","0.50","Matches","2023/2024","13","2","15.4","2.58","0.40","0.08","0.50","11.1","0","0.18","-1.4","-1.4","83","94","88.3","932","91","60","64","93.8","15","18","83.3","1","2","50.0","0.3","-0.2","3","2","2","0","6","3","0","0","1","2","1","2","50.0","1","5","1","4","0","3","3","0"
"Armando Broja","al ALB","FW","Fulham","22-186","2001","4","0","51","0.6","0","1","1","0","0","0","0","0","0.0","0.0","0.4","0.4","2","1","5","0.00","1.76","1.76","0.00","1.76","0.00","0.70","0.70","0.00","0.70","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","10","15","66.7","95","40","9","11","81.8","1","1","100.0","0","0","","0.0","+0.6","1","2","1","0","1","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0"
"Andre Brooks","eng ENG","MF,DF","Sheffield Utd","20-207","2003","13","8","650","7.2","0","0","0","0","0","0","1","0","0.2","0.2","0.1","0.3","6","12","13","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.04","0.03","0.04","Matches","2023/2024","5","1","20.0","0.69","0.14","0.00","0.00","20.6","0","0.05","-0.2","-0.2","119","163","73.0","1772","400","71","85","83.5","42","56","75.0","5","11","45.5","0.2","-0.1","2","8","4","0","12","10","7","2","7","1","5","14","35.7","9","11","1","10","9","19","14","0"
"David Brooks","wls WAL","FW,MF","Bournemouth","26-250","1997","13","2","282","3.1","1","1","2","1","0","0","1","0","2.2","2.2","1.0","3.2","8","21","27","0.32","0.32","0.64","0.32","0.64","0.70","0.33","1.03","0.70","1.03","Matches","2023/2024","13","5","38.5","4.15","1.60","0.08","0.20","17.4","0","0.17","-1.2","-1.2","95","132","72.0","1545","666","47","55","85.5","34","42","81.0","10","23","43.5","0.5","0.0","8","14","12","3","21","5","4","2","1","2","2","4","50.0","2","3","0","3","2","7","2","0"
"Jacob Brown","sct SCO","MF,FW","Luton Town","25-339","1998","19","12","1,019","11.3","2","0","2","2","0","0","4","0","2.8","2.8","0.7","3.4","25","19","54","0.18","0.00","0.18","0.18","0.18","0.23","0.05","0.28","0.23","0.28","Matches","2023/2024","26","6","23.1","2.30","0.53","0.08","0.33","14.1","0","0.11","-0.8","-0.8","136","247","55.1","1865","626","91","127","71.7","35","56","62.5","6","24","25.0","0.4","-0.7","8","6","3","1","19","19","12","7","7","5","7","18","38.9","11","21","1","20","8","27","25","0"
"Josh Brownhill","eng ENG","MF","Burnley","28-086","1995","26","22","2,028","22.5","3","1","4","3","0","0","3","1","1.6","1.6","1.8","3.4","16","78","29","0.13","0.04","0.18","0.13","0.18","0.07","0.08","0.15","0.07","0.15","Matches","2023/2024","24","9","37.5","1.07","0.40","0.13","0.33","20.7","0","0.07","+1.4","+1.4","744","973","76.5","11670","3019","387","458","84.5","277","350","79.1","49","104","47.1","1.9","-0.8","28","58","14","0","78","48","31","17","22","9","21","29","72.4","8","28","7","21","29","77","36","1"
"Jacob Bruun Larsen","dk DEN","MF,FW","Burnley","25-177","1998","22","6","596","6.6","2","0","2","2","0","0","0","0","1.5","1.5","0.6","2.1","31","19","84","0.30","0.00","0.30","0.30","0.30","0.22","0.09","0.31","0.22","0.31","Matches","2023/2024","20","5","25.0","3.02","0.76","0.10","0.40","20.8","6","0.07","+0.5","+0.5","187","256","73.0","2794","638","107","134","79.9","58","76","76.3","14","24","58.3","0.5","-0.6","12","5","6","0","19","4","2","2","0","2","3","8","37.5","5","7","0","7","3","7","6","0"
"Hugo Bueno","es ESP","DF,MF","Wolves","21-178","2002","14","4","432","4.8","0","0","0","0","0","0","1","0","0.2","0.2","0.5","0.8","12","6","31","0.00","0.00","0.00","0.00","0.00","0.05","0.11","0.16","0.05","0.16","Matches","2023/2024","4","0","0.0","0.83","0.00","0.00","","17.3","0","0.06","-0.2","-0.2","215","275","78.2","2905","704","143","160","89.4","63","80","78.8","6","16","37.5","0.3","-0.5","4","10","4","4","6","17","11","9","6","2","8","13","61.5","5","9","1","8","4","21","15","0"
"Santiago Bueno","uy URU","DF","Wolves","25-126","1998","4","3","291","3.2","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","2","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","123","141","87.2","2361","597","30","32","93.8","84","89","94.4","7","16","43.8","0.0","0.0","0","4","0","0","2","4","2","1","3","0","2","3","66.7","1","8","4","4","3","7","19","0"
"Facundo Buonanotte","ar ARG","MF,FW","Brighton","19-082","2004","19","12","943","10.5","3","1","4","3","0","0","6","0","1.9","1.9","1.7","3.6","13","25","50","0.29","0.10","0.38","0.29","0.38","0.18","0.16","0.35","0.18","0.35","Matches","2023/2024","16","6","37.5","1.53","0.57","0.19","0.50","16.9","0","0.12","+1.1","+1.1","273","330","82.7","3343","573","185","214","86.4","59","69","85.5","7","10","70.0","0.9","-0.7","16","16","9","0","25","31","16","8","18","5","10","28","35.7","18","18","3","15","5","36","4","0"
"Reece Burke","eng ENG","DF","Luton Town","27-194","1996","14","12","1,034","11.5","0","2","2","0","0","0","3","0","1.3","1.3","0.7","2.0","3","34","9","0.00","0.17","0.17","0.00","0.17","0.12","0.07","0.19","0.12","0.19","Matches","2023/2024","12","3","25.0","1.04","0.26","0.00","0.00","13.4","0","0.13","-1.3","-1.3","309","421","73.4","5799","2304","109","143","76.2","162","196","82.7","31","62","50.0","0.2","+1.3","7","29","5","1","34","17","14","8","6","3","5","13","38.5","8","15","10","5","13","30","45","0"
"Dan Burn","eng ENG","DF","Newcastle Utd","31-310","1992","23","22","1,826","20.3","2","2","4","2","0","0","3","0","2.4","2.4","1.0","3.4","13","60","25","0.10","0.10","0.20","0.10","0.20","0.12","0.05","0.17","0.12","0.17","Matches","2023/2024","16","5","31.3","0.79","0.25","0.13","0.40","9.0","0","0.16","-0.4","-0.4","936","1170","80.0","14622","5699","485","557","87.1","411","492","83.5","31","72","43.1","1.0","+1.0","8","52","7","3","60","46","22","27","17","2","18","48","37.5","30","35","12","23","26","72","81","1"
"Mason Burstow","eng ENG","FW","Chelsea","20-223","2003","2","0","9","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","3","4","75.0","29","1","3","3","100.0","0","0","","0","0","","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Moisés Caicedo","ec ECU","MF","Chelsea","22-133","2001","24","22","1,941","21.6","0","1","1","0","0","0","8","0","0.2","0.2","1.5","1.7","9","106","16","0.00","0.05","0.05","0.00","0.05","0.01","0.07","0.08","0.01","0.08","Matches","2023/2024","7","1","14.3","0.32","0.05","0.00","0.00","26.0","0","0.03","-0.2","-0.2","1261","1384","91.1","19848","5141","675","720","93.8","458","487","94.0","84","101","83.2","1.0","-0.5","14","114","8","0","106","59","33","28","24","7","22","39","56.4","17","33","15","18","22","81","30","2"
"Tom Cairney","sct SCO","MF","Fulham","33-054","1991","26","13","1,246","13.8","1","3","4","1","0","0","2","0","0.8","0.8","1.9","2.7","30","111","54","0.07","0.22","0.29","0.07","0.29","0.05","0.14","0.19","0.05","0.19","Matches","2023/2024","12","5","41.7","0.87","0.36","0.08","0.20","20.9","0","0.06","+0.2","+0.2","887","1006","88.2","13751","2984","475","504","94.2","324","353","91.8","58","93","62.4","2.1","+1.1","17","70","19","4","111","21","13","10","9","2","11","23","47.8","12","14","3","11","13","34","5","0"
"Dominic Calvert-Lewin","eng ENG","FW","Everton","26-364","1997","24","19","1,583","17.6","3","1","4","3","0","0","1","0","9.3","9.3","1.6","10.9","24","24","82","0.17","0.06","0.23","0.17","0.23","0.53","0.09","0.62","0.53","0.62","Matches","2023/2024","52","17","32.7","2.96","0.97","0.06","0.18","12.7","0","0.18","-6.3","-6.3","183","325","56.3","2207","473","128","199","64.3","39","78","50.0","5","9","55.6","0.7","-0.6","15","11","9","0","24","9","3","1","5","3","2","12","16.7","10","11","3","8","3","12","25","0"
